name,address,city,state,zipcode,ethash
INFINITI OF BIRMINGHAM,1804 MONTGOMERY HIGHWAY,HOOVER,AL,35244,A35244251432E9ABB18116D17D19EA00FE0413D6F59F35465D0000
FRESNO INFINITI,711 W PALMDON DRIVE,FRESNO,CA,93704,A93704108032C7956EE16F8138E4072E9C7799577A9D4081F10000
INFINITI OF FORT WAYNE,4805 LIMA RD,FORT WAYNE,IN,46808,A46808120573EDE10DB7E7407344579E932927D1C362D1BBC50000
INFINITI OF NORTHERN KENTUCKY,1945 DIXIE HWY,FORT WRIGHT,KY,41011,A41011267504F5973C995E34DC2A16A9EC3C2C54AF6C0934800000
INFINITI OF OXNARD,1701 AUTO CENTER DR,OXNARD,CA,93036,A930367962129F1E8AA80D8D224DDF8CE19C24B0B5083B77E30000
SAWGRASS INFINITI,5801 MADISON AVE,TAMARAC,FL,33321,A3332164230828215D4C0354A2AE116F75F7088077A2F712130000
INFINITI OF SPRINGFIELD,3625 SOUTH CAMPBELL ST,SPRINGFIELD,MO,65807,A658075201C24701F979C7CA6AB8654184F3C5C2930FA27D120000
INFINITI OF SILVER SPRING,3221 AUTOMOBILE BLVD,SILVER SPRING,MD,20904,A20904490961207B2D080833AD70B240DEFD8A64B3E27A6B480000
LAUDERDALE INFINITI,900 E SUNRISE BLVD,FORT LAUDERDALE,FL,33304,A33304282143409A8D0C4EBB98412DD79DEED404047E24D61A0000
INFINITI OF BATON ROUGE,13540 AIRLINE HWY,BATON ROUGE,LA,70817,A708175919F019E948732E261B43E8475DDCAF21850FD871840000
INFINITI MILWAUKEE,2228 E MORELAND BLVD,WAUKESHA,WI,53186,A53186290719FE13DCB53F572151BFB303EFA6E3F93E00F63D0000
INFINITI OF ELK GROVE,8586 LAGUNA GROVE DR,ELK GROVE,CA,95757,A95757870794FD128C8BB0C5CB720BCD1E25A456F0F7FDF3D60000
