"buckloc_id","name","address","city","state","zipcode"
"CHi47WnhDPnfnpgna","Nissan of Vacaville","671 ORANGE DR","VACAVILLE","CA","95687"
"CK8bsZWTkAPCdk9a7","Gardena Nissan","1670 W REDONDO BEACH BLVD","GARDENA","CA","90247"
"CLbdKwcp4RfCKM5uS","Don Franklin Chrysler Dodge Jeep Ram Nissan Somerset","1147 S HIGHWAY 27","SOMERSET","KY","42501"
"CSLB2qgkiLKKYRmjr","Balise Nissan of West Springfield","500 RIVERDALE ST","WEST SPRINGFIELD","MA","01089"
"CSunNzWAk9zjyMbGg","Cannon Chevrolet Nissan","69900 HIGHWAY 82 W","GREENWOOD","MS","38930"
"CSwEphwqEmsPMp3Sd","Crown Nissan (FL)","300 E CYPRESS AVE","REDDING","CA","96002"
"Cc6BC3zhjx6CPzjaq","World Car Nissan Hyundai","12908 INTERSTATE HWY 35 N","SAN ANTONIO","TX","78233"
"CcxyRLBGXd2f9JjXM","Tilton-Jax Nissan","3750 N HARRISON ST","DAVENPORT","IA","52806"
"CdC2HiZpA66hwuGYM","Stevens Point Nissan","301 GREEN AVENUE NORTH","STEVENS POINT","WI","54481"
"CeGgos7XZ2WdQMLST","Bommarito Nissan Ballwin","14747 manchester rd","BALLWIN","MO","63011"
"CjDRBia3PF2p2WiYp","Sonora Nissan","3160 S PACIFIC AVE","YUMA","AZ","85365"
"CjdtBTrTfnZcCg2WX","East Charlotte Nissan","6901 E INDEPENDENCE BLVD","CHARLOTTE","NC","28227"
"CuhvTAZKvYknpycvp","Bob Howard Nissan","13200 BROADWAY EXT","OKLAHOMA CITY","OK","73114"
"CuiR6MvSGxTbQadAw","Tony Serra Highland Nissan","2530 E HIGHLAND RD","HIGHLAND","MI","48356"
"CvpXzdHN2vgxqCaoJ","St.Charles Nissan","5625 Veterans Memorial Pkwy","ST. PETERS","MO","63376"
"D4FCmQfhmNoYYc6d8","Classic Nissan of Sanford","3305 NC HWY 87 S","SANFORD","NC","27332"
"D5B3MEELCjgAaXb9p","Dave Smith Nissan of Spokane","6901 E SPRAGUE AVE","SPOKANE VALLEY","WA","99212"
"D68zqNGXp4ugDji5y","Reed Nissan Orlando","3776 W COLONIAL DR","ORLANDO","FL","32808"
"D96cSKEPYJWxE9fmi","Geri Lynn Nissan","1772 MARTIN LUTHER KING","HOUMA","LA","70360"
"D9EoGXNkatobqJGaC","Nissan of Middletown","4961 ROUTE 17M","NEW HAMPTON","NY","10958"
"DBBDZsnwtYzQPyKBC","Vann Yorks High Point Nissan","1810 S MAIN ST","HIGH POINT","NC","27260"
"DGYj7ntJibDYA4gMY","Nissan of Bradenton","1611 CORTEZ RD W","BRADENTON","FL","34207"
"DJ7HzutgbTjkJkLix","Jeff Schmitt Nissan","725 ALPHA RD","BEAVERCREEK","OH","45434"
"DPdu8HqTWxuPkS8S6","Jimmy Cleveland Nissan Of Wichita Falls","4000 KELL BLVD","WICHITA FALLS","TX","76309"
"DQxzwjeHZNuf2DMD9","Pomoco Nissan of Hampton","1134 W MERCURY BLVD","HAMPTON","VA","23666"
